symbol,action,price,amount,commission,slippage,pnl,timestamp,holdings,avg_entry_price
BTC/USDT,buy,21507.418335,0.324799,5.239190975842249,10.748334999999999,0.0,2023-01-20 16:00:00,0.324799,21507.418335
BTC/USDT,sell,22696.52606,0.324799,5.528856725821455,11.353940000000001,380.69214324645407,2023-01-22 20:00:00,0.0,0.0
BTC/USDT,buy,23264.686530000003,0.299413,5.2243121910051675,11.62653,0.0,2023-01-27 16:00:00,0.299413,23264.686530000003
BTC/USDT,sell,22507.18078,0.299413,5.0542068891616045,11.25922,-231.86127601391277,2023-02-09 00:00:00,0.0,0.0
BTC/USDT,buy,21873.481275,0.423218,6.942938248682212,10.931275,0.0,2023-02-11 20:00:00,0.423218,21873.481275
BTC/USDT,sell,23777.92509,0.423218,7.547434425554714,11.89491,798.4474680711163,2023-02-17 08:00:00,0.0,0.0
BTC/USDT,buy,24934.671104999998,0.296183,5.538919268919161,12.461105,0.0,2023-02-19 12:00:00,0.296183,24934.671104999998
BTC/USDT,sell,24259.624119999997,0.296183,5.3889661880504685,12.13588,-205.3264073463057,2023-02-19 20:00:00,0.0,0.0
BTC/USDT,buy,23265.06672,0.335641,5.85653269422564,11.626719999999999,0.0,2023-02-26 08:00:00,0.335641,23265.06672
BTC/USDT,sell,24342.34329,0.335641,6.127716333149168,24.36671,355.45046889822146,2023-03-15 16:00:00,0.0,0.0
BTC/USDT,buy,28108.08,0.185725,3.9152798685000003,28.080000000000002,0.0,2023-03-24 08:00:00,0.185725,28108.08
BTC/USDT,sell,26890.16819,0.185725,3.745632365315813,13.45181,-229.94230327756605,2023-03-27 12:00:00,0.0,0.0
BTC/USDT,buy,28100.863409999998,0.226496,4.77354986918352,14.04341,0.0,2023-03-29 04:00:00,0.226496,28100.86341
BTC/USDT,sell,27724.61076,0.226496,4.70963507902272,13.86924,-89.92935529342321,2023-03-31 04:00:00,0.0,0.0
BTC/USDT,buy,28179.552735,0.274868,5.809242975872985,14.082735000000001,0.0,2023-04-04 20:00:00,0.274868,28179.552735
BTC/USDT,sell,28019.80309,0.274868,5.776310426806591,14.01691,-49.68637584866656,2023-04-06 20:00:00,0.0,0.0
BTC/USDT,buy,30749.08686,0.304425,7.020593075516625,15.36686,0.0,2023-04-14 04:00:00,0.304425,30749.08686
BTC/USDT,sell,29967.8086,0.304425,6.8422125997912495,14.9914,-244.682846900291,2023-04-17 00:00:00,0.0,0.0
BTC/USDT,buy,30199.95243,0.318638,7.2171393317927555,15.09243,0.0,2023-04-18 12:00:00,0.318638,30199.95243
BTC/USDT,sell,28546.77947,0.318638,6.822066537571395,14.28053,-533.5857921660513,2023-05-01 00:00:00,0.0,0.0
BTC/USDT,buy,28535.160450000003,0.237236,5.07717549338715,14.26045,0.0,2023-05-03 00:00:00,0.237236,28535.160450000003
BTC/USDT,sell,28562.321695000002,0.237236,5.082008212226265,14.288305000000001,1.361616906593575,2023-05-06 12:00:00,0.0,0.0
BTC/USDT,buy,27690.928545,0.291462,6.053140061687092,13.838545,0.0,2023-05-10 08:00:00,0.291462,27690.928545
BTC/USDT,sell,27046.509980000003,0.291462,5.91227241884307,13.53002,-193.735796210872,2023-05-17 00:00:00,0.0,0.0
BTC/USDT,buy,27398.782545000002,0.292731,6.015354759885297,13.692545,0.0,2023-05-17 16:00:00,0.292731,27398.782545000002
BTC/USDT,sell,26631.4776,0.292731,5.8468943019942,13.3224,-230.46083815679026,2023-05-22 00:00:00,0.0,0.0
BTC/USDT,buy,26514.580665,0.358109,7.121332475521863,13.250665000000001,0.0,2023-05-26 04:00:00,0.358109,26514.580664999998
BTC/USDT,sell,27836.2749,0.358109,7.476315426123075,13.9251,465.8342853754929,2023-05-30 16:00:00,0.0,0.0
BTC/USDT,buy,27252.63951,0.317658,6.4927642211006855,13.61951,0.0,2023-06-02 16:00:00,0.317658,27252.63951
BTC/USDT,sell,26830.15821,0.317658,6.392110797504135,13.421790000000001,-140.59667559290395,2023-06-05 00:00:00,0.0,0.0
BTC/USDT,buy,27093.670065000002,0.266353,5.412360227117209,13.540065,0.0,2023-06-06 16:00:00,0.266353,27093.670065000002
BTC/USDT,sell,26414.795994999997,0.266353,5.276745118242176,13.214005,-186.09689028495362,2023-06-19 04:00:00,0.0,0.0
BTC/USDT,buy,31253.619,0.188533,4.41925391319525,15.619,0.0,2023-06-23 12:00:00,0.188533,31253.619
BTC/USDT,sell,30356.384215,0.188533,4.292385138904946,15.185785000000001,-173.45075085931003,2023-06-27 00:00:00,0.0,0.0
BTC/USDT,buy,30760.422524999998,0.252153,5.817249615709744,15.372525,0.0,2023-06-30 00:00:00,0.252153,30760.422524999998
