symbol,action,price,amount,commission,slippage,pnl,timestamp,structure,regime
BTC/USDT,buy,26061.3130005,100,1954.5984750374998,1.3030005,0.0,2023-08-25 20:00:00,trend_following,unknown
BTC/USDT,sell,25932.823293999998,100,1944.9617470499998,1.296706,-16751.130578587297,2023-08-28 04:00:00,trend_following,unknown
